username,full_text
namasayasyfaaa,guru honorer dia rendahin banyak anak baca nulis ngitung kerja mulia kaya gitu bisa ya bina memang gaji guru honorer rendah bukan salah guru salah sistemasi perintah yang kurang appreciate guru honorer
RacunShopee999,lagi guru honorer harus pulung gaji tidak untuk biaya hidup sadar diri hidup enak ada pensiun banyak rakyat makan hari saja masih juang
pj0ngseong,harus malu perintah soal gagal beri gaji layak guru honorer
rahmania48,sakit hati paling akut ketika dianggep beban sama sendiri kenya anak gaji gede punya hasil banyak kerja beliau ngatur spd guru oke turutin jadi guru honorer gaji dikit banget malah bilang bensin bpjs sing bayar
netytarigan,karya 5 anggota dpr pensiun umur hidup fasilitator guru honorer terjang jalan rusak bangun sdm indonesia malah gaji kecil pensiun jelas
akungue46826770,kakaku honorer semenjak lulus sarjana gaji guru kata cuma isi bensin
NenkCici4,malu sih cuma sedih justru mata lain guru meski honorer pandang padahal asli miris banget kerja bulan gaji bayar cuma minggu mana tepat waktu kadang 2 3 bulan baru gaji boro-boro nabung ongkos boncos
voiceS_Yoongi,lebih malu jabat nentuin bijak gaji guru honorer
AlyaKohl,turut si kuliah guru honorer kerja rendah anak disekolahin kan diajarin sama guru tertawa kalian guru honorer kurang puas gaji bukak les rumah temu 50 ribu minggu 2 kali murid 20 lumayan
Synkysss,heran sama masih ngerendahin guru honorer padahal mereka tau guru honorer gaji sedikit masih ikhlas ridho sepenuh hati ngajar anak murid loh semangat semua bapak ibu guru honorer
anakpelikan,gaji guru honorer rendah tetap guru tuh kerja mulia ngapain malu
Chillaxest,aneh banget gaji guru nakes honorer engap-engapan malah ngasih wakil tidak wakil rakyat uang pensiun umur hidup bener ngabisin anggar negara
zevanganendra,moga indonesia naikin gaji guru honorer biar hina gin
dariguruhonorer,sip gaji honorer mana mana
FaedahPagi,guru harus ngadepin anak bandel ada awal gaji berapa pensiun umur hidup juga pns honorer lebih sedih
mojokdotco,guru honorer tanggung totalitas serius ngajar meski gaji sampai rupiah 500 ribu malah musuh anggap bikin repot guru gaji lebih tapi niat ngajar
TMIHARINI,rendah tingkat literasi uang digital masyarakat masalah sejahtera guru jadi faktor utama jerat pinjam online ilegal dasar lapor jaring p2g daerah banyak guru honorer terima gaji bawah standar bahkan
fluktuatif,gaji pegawai becuk berapa sih lebih kurang guru honorer apa gimana sampe curi
noanggio,padahal anggar event nya buat gaji guru honorer 1
arrosyid_cahya,gaji guru honorer 2 juta mas beneranapa dar janji
