username,full_text
namasayasyfaaa,gaji orang guru honorer kota kisar rupiah 1500000 - rupiah 2000000 di kota kecil hanya banyak rupiah 300000 - rupiah 1000000 lagi guru beban urus administrasi banyak lain apresiasi gaji orang guru tidak padan
RacunShopee999,memang banyak gaji rendah sender guru honorer guru status asn p3k mah beda tetap gaji guru indonesia rendah
pj0ngseong,kan memang fakta apa honorer aduh padahal kemarin sempat biar didik gaji guru lebih perhati eh malah pilih yang lain
rahmania48,honorer kak memang gitu hitung gaji honorer anggar bos misal 20 guru honor 20 bagi makin banyak honorer makin sedikit per orang
netytarigan,sender nyokap guru swasta gajih cuma 2 5 juta potong tabung bulan bersih cuma 1 5 juta tertawa gaji guru swasta honorer emang kecil banget teman kalau pns baru deh gaji lambung tinggi tertawa
akungue46826770,padahal rumah itu bukan cuma rebah hari nyuci baju-nyetrika nyuci piring beberes rumah rumah bikin konten kerja juga itu biar gaji kaya guru honorer ini indonesia teman tidak pake seragam tidak kerja nama
NenkCici4,malu sih cuma sedih justru mata lain guru meski honorer pandang padahal asli miris banget kerja bulan gaji bayar cuma minggu mana tepat waktu kadang 2 3 bulan baru gaji boro-boro nabung ongkos boncos
voiceS_Yoongi,sekitar kampung gaji guru honorer paling tinggi 300 ribu kurang manusiawi zaman serba mehongkalo perintah bilang sejahtera rakyat bohong belaka
AlyaKohl,ibu guru honorer lebih 25 gaji nya paling banyak 500 ribu bulan sama ayah suruh henti ngajar ibu bilang cari uang ajar biar ilmu ibu ajar manfaat barokah beliau
Synkysss,fakta gaji guru memang rendah terus semua guru status asn banyak honorer asn guru tidak semua tpg
anakpelikan,bilang gaji guru rendah kadang mandang ngerendahin guru nya sengaja kritik jabat negara masa guru abdi nya gaji dikit banget yang guru honorer gaji lebih parah
Chillaxest,moga perintah lebih peduli sama nasib guru honorer naikin gaji jabat mending naikin gaji guru honorer
zevanganendra,gaji guru honorer kan emang kecil dah kecil sering telat kalau pns mah beda
dariguruhonorer,semua sekolah pake guru tetap banyak honorer sender tau gaji guru tetap yang gimana sekolah kalau guru honorer mah tetap segitu
FaedahPagi,teriak gaji emaknya cuma 3juta ratus sekian mantan honorer kalian akan tau strugglenya guru honorer orang tua kalian guru honorer mamak besar 2 anak status baru angkat pppk sudah capai banget
mojokdotco,memang gaji rendah kocak apa guru honorer guru punya rumah punya mobil tau apa banyak kredit gadai sk gaji asli guru hidup hari saja empot empot
TMIHARINI,capek guru tuh ngurusin anak segitu banyak ada salah dikit guru kena segala macem omongin gaji sesuai kerja berat gaji kecil baik asn apa honorer
fluktuatif,pak oknum kepala sekolah motongin gaji guru honorer tindak kasih sanksi pindahin kaya henti kaya jangan panggil doang sama dinas tidak sanksi ku spill kepala sosial sd mana
noanggio,gaji guru honorer sekolah swasta yayasan andal dapat spp siswa kalau spp sedikit gaji guru sedikit memang tambah donatur yayasan nunggu 3 baru intensif pemkab intensif tidak 1 juta
arrosyid_cahya,btw tau kalau kerja awat rata 700 ribu bulan sama kaya tukang tunggu fotocopyan gaji guru honorer 250 400 ribu bulan tertawa lebih ngenes apa salah kira kira negri wakanda
Muhammad_nsyam,gaji guru honorer rendah tetap guru tuh kerja mulia ngapain malu
oldnicktr,muka camaba ajar snbt mahasiswa sem awal struggle mahasiswa sem tengah culture shock lebaran banyak dulu tugas mahasiswa sem akhir pusing ama ta mahasiswa profesi nakes gaji kecil guru honorer kerja under umr
chusnusuroyyaa,1 triliun teman mending gaji guru honorer
heinnana,hitung matematika ekonomi indonesia masuk gaji guru honorer keluarga bawah umr anggap layak hidup bulan jabat gaji standar indonesia punya lhkpn gendut2 mau lulus s5 tidak akan bisa hitung nilai wajar
yaemiawko,harus malu perintah soal gagal beri gaji layak guru honorer
Sean_Alma,sebenernya tuju banget sama fenomena murid wali murid ngasih hadiah guru kolektif kaya sekarang rame timbul senjang gratifikasi tapi lihat gaji guru utama honorer ya gimanaa cara lgsg guru gantung pada beri
dariguruhonorer,asli mending naikin gaji guru utama honorer naikin gaji jabat ujung ujung duit lari ani ani
jundy_id,nyata memang iya gaji guru indonesia bilang rendah apa guru honorer sayang padahal guru orang banyak jasa nya bangsa perintah lebih sejahtera guru guru
khe9803,memang fakta anjir punya tua jaman guru honorer sampe angkat pns asn di umur 50 enggak mending diem pernah ngerasain gaji bulan 300 ribu kan tidak pernah lihat tua lantang luntung nyari kerja sampe gerd kan
48squadsama,tau kan dulu masalah guru gaji kecil apa yang honorer masak gin harus kasih tau mau edukasi literasi uang kayak apa kalau gaji kecil tidak mempan tetap kurang emosi jadi
liketiramissyou,halah wong gaji guru honorer cuilik lagak banding ojok mbe kuliah kowe wae golek kerja lewih apik rasah ngongkon pasang pie
badutjalanan145,guru honorer kaya gaji 600-800 hak beri mahkota tertawa
hantuuu16_,doa ya mbak ini ambil gaji guru honorer moga lebih biasa 500-600 ribu bisa masak niat ken bagi makan ultahku tanggal 12 april
Remajasehat2,inget pas smk tante jadi guru honorer sekolah tante nunjukin slip gaji nya 2012 gaji bulan sampe 100 ribu tuhan sedih banget liat
bedakbayiiik,fakta emang gitu apa guru honorer underpaid sender mau sudah pns benar gaji harus gede karena itu kerja tidak gampang asal tau kamu lihat guru punya mobil mereka hasil ngandelin gaji guru tidak
zezexixizexi,sedang pikir bijak naikin gaji guru honorer perata umr jam kerja pegawai swasta
zezexixizexi,memang fakta sender lebih banyak guru gaji bilang layak dulu perintah janjiin bakal naik gaji guru honorer mana
Tamaechan_,guru honorer guru biasa guru asn akhir yang punya gaji ples tunjang
